iter	Passed	Remaining
385	787	1253
386	789	1249
387	790	1246
388	791	1243
389	794	1242
390	795	1239
391	796	1236
392	798	1232
393	799	1229
394	800	1226
395	801	1222
396	802	1219
397	804	1216
398	807	1215
399	808	1213
400	810	1210
401	811	1206
402	812	1203
403	813	1200
404	814	1197
405	816	1194
406	818	1192
407	821	1191
408	822	1188
409	823	1185
410	824	1182
411	826	1178
412	827	1175
413	828	1172
414	829	1169
415	830	1166
416	833	1165
417	835	1162
418	836	1159
419	837	1156
420	838	1153
421	839	1149
422	840	1146
423	841	1143
424	842	1140
425	844	1137
426	848	1138
427	849	1135
428	850	1132
429	851	1128
430	852	1125
431	854	1122
432	855	1119
433	856	1116
434	857	1114
435	859	1112
436	861	1110
437	862	1107
438	864	1104
439	865	1101
440	866	1098
441	867	1095
442	868	1092
443	870	1089
444	872	1087
445	874	1086
446	875	1083
447	876	1080
448	878	1077
449	879	1074
450	880	1071
451	881	1068
452	882	1065
453	884	1063
454	887	1062
455	888	1060
456	889	1057
457	891	1054
458	892	1051
459	893	1048
460	894	1046
461	895	1043
462	896	1040
463	899	1038
464	902	1037
465	903	1035
466	904	1032
467	905	1029
468	906	1026
469	908	1024
470	909	1021
471	910	1018
472	913	1017
473	916	1016
474	917	1013
475	918	1011
476	919	1008
477	921	1005
478	922	1003
479	923	1000
480	924	997
481	927	996
482	929	994
483	930	991
484	931	989
485	932	986
486	933	983
487	934	980
488	935	978
489	937	975
490	939	974
491	943	973
492	944	971
493	945	968
494	946	965
495	947	962
496	948	960
497	949	957
498	951	955
499	953	953
500	955	951
501	956	948
502	957	946
503	958	943
504	959	940
505	961	938
506	962	935
507	963	933
508	965	931
509	968	930
510	969	927
511	970	925
512	971	922
513	973	920
514	974	917
515	975	914
516	976	912
517	978	910
518	982	910
519	983	907
520	984	905
521	985	902
522	986	900
523	988	897
524	989	895
525	990	892
526	992	891
527	995	890
528	996	887
529	998	885
530	999	882
531	1000	880
532	1002	877
533	1003	875
534	1004	873
535	1007	872
536	1008	869
537	1010	867
538	1011	864
539	1012	862
540	1013	859
541	1014	857
542	1015	854
543	1017	852
544	1020	852
545	1022	850
546	1025	848
547	1026	846
548	1028	844
549	1033	845
550	1035	844
551	1037	842
552	1039	839
553	1040	837
554	1041	835
555	1044	834
556	1048	833
557	1049	831
558	1050	828
559	1051	826
560	1052	823
561	1054	821
562	1055	819
563	1057	817
564	1059	816
565	1061	814
566	1062	811
567	1064	809
568	1065	807
569	1066	804
570	1067	802
571	1069	800
572	1072	799
573	1074	797
574	1075	794
575	1076	792
576	1078	790
577	1079	787
578	1080	785
579	1081	783
580	1083	781
581	1086	780
582	1087	778
583	1089	775
584	1090	773
585	1091	771
586	1092	768
587	1093	766
588	1095	764
589	1097	762
590	1100	761
591	1101	759
592	1102	756
593	1103	754
594	1104	751
595	1105	749
596	1107	747
597	1108	744
598	1109	743
599	1113	742
600	1114	740
601	1115	737
602	1117	735
603	1118	733
604	1119	731
605	1120	728
606	1122	726
607	1124	725
608	1126	723
609	1128	721
610	1129	718
611	1130	716
612	1131	714
613	1132	712
614	1133	709
615	1135	707
616	1137	706
617	1139	704
618	1141	702
619	1142	700
620	1143	698
621	1145	695
622	1146	693
623	1148	691
624	1151	691
625	1153	689
626	1154	686
627	1155	684
628	1156	682
629	1158	680
630	1159	677
631	1160	675
632	1162	673
633	1164	672
634	1166	670
635	1167	668
636	1168	665
637	1169	663
638	1170	661
639	1172	659
640	1173	657
641	1174	655
642	1178	654
643	1180	652
644	1181	650
645	1182	648
646	1184	646
647	1185	643
648	1186	641
649	1189	640
650	1192	639
651	1193	636
652	1194	634
653	1195	632
654	1196	630
655	1198	628
656	1199	626
657	1200	623
658	1202	622
659	1205	621
660	1206	618
661	1207	616
662	1209	614
663	1210	612
664	1211	610
665	1212	608
666	1213	606
667	1215	604
668	1218	603
669	1220	600
670	1221	598
671	1222	596
672	1223	594
673	1224	592
674	1226	590
675	1228	588
676	1231	587
677	1232	585
678	1233	583
679	1235	581
680	1236	579
681	1237	576
682	1238	574
683	1239	572
684	1241	570
685	1244	569
686	1245	567
687	1247	565
688	1248	563
689	1249	561
690	1250	559
691	1252	557
692	1253	555
693	1255	553
694	1258	552
695	1259	550
696	1261	548
697	1262	546
698	1263	544
699	1264	542
700	1265	539
701	1267	538
702	1270	536
703	1273	535
704	1274	533
705	1275	531
706	1276	529
707	1278	527
708	1279	525
709	1281	523
710	1284	522
711	1286	520
712	1287	518
713	1288	516
714	1290	514
715	1291	512
716	1292	510
717	1294	508
718	1297	507
719	1299	505
720	1300	503
721	1301	501
722	1302	499
723	1303	497
724	1305	495
725	1306	492
726	1307	491
727	1311	489
728	1312	488
729	1313	485
730	1315	483
731	1316	481
732	1317	479
733	1318	477
734	1319	475
735	1321	473
736	1324	472
737	1325	470
738	1326	468
739	1327	466
740	1329	464
741	1330	462
742	1331	460
743	1332	458
744	1333	456
745	1337	455
746	1338	453
747	1340	451
748	1341	449
749	1342	447
750	1343	445
751	1344	443
752	1345	441
753	1349	440
754	1351	438
755	1352	436
756	1354	434
757	1355	432
758	1356	430
759	1357	428
760	1359	426
761	1361	425
762	1363	423
763	1364	421
764	1365	419
765	1367	417
766	1368	415
767	1369	413
768	1370	411
769	1372	409
770	1374	408
771	1377	406
772	1378	404
773	1379	402
774	1380	400
775	1381	398
776	1382	396
777	1384	394
778	1385	393
779	1388	391
780	1389	389
781	1390	387
782	1391	385
783	1393	383
784	1394	381
785	1395	379
786	1396	378
787	1398	376
788	1401	374
789	1402	372
790	1403	370
791	1405	369
792	1406	367
793	1407	365
794	1408	363
795	1409	361
796	1411	359
797	1414	358
798	1415	356
799	1417	354
800	1418	352
801	1419	350
802	1420	348
803	1421	346
804	1423	344
805	1425	343
806	1428	341
807	1429	339
808	1430	337
809	1432	335
810	1433	334
811	1434	332
812	1435	330
813	1437	328
814	1440	327
815	1442	325
816	1443	323
817	1444	321
818	1445	319
819	1446	317
820	1448	315
821	1449	313
822	1451	312
823	1454	310
824	1455	308
825	1457	306
826	1458	305
827	1459	303
828	1460	301
829	1461	299
830	1462	297
831	1466	296
832	1468	294
833	1469	292
834	1470	290
835	1472	288
836	1473	286
837	1474	285
838	1475	283
839	1478	281
840	1480	279
841	1481	278
842	1482	276
843	1484	274
844	1485	272
845	1486	270
846	1487	268
847	1489	266
848	1492	265
849	1493	263
850	1494	261
851	1496	259
852	1497	258
853	1498	256
854	1499	254
855	1500	252
856	1502	250
857	1505	249
858	1507	247
859	1508	245
860	1509	243
861	1510	241
862	1512	240
863	1513	238
864	1514	236
865	1517	234
866	1518	232
867	1520	231
868	1521	229
869	1522	227
870	1523	225
871	1524	223
872	1526	221
873	1527	220
874	1530	218
875	1532	216
876	1533	215
877	1534	213
878	1535	211
879	1536	209
880	1538	207
881	1539	205
882	1540	204
883	1543	202
884	1545	200
885	1546	199
886	1548	197
887	1549	195
888	1550	193
889	1551	191
890	1552	189
891	1555	188
892	1558	186
893	1559	184
894	1560	183
895	1561	181
896	1562	179
897	1564	177
898	1565	175
899	1566	174
900	1568	172
901	1570	170
902	1572	168
903	1573	167
904	1574	165
905	1575	163
906	1576	161
907	1577	159
908	1579	158
909	1580	156
910	1583	154
911	1584	152
912	1586	151
913	1587	149
914	1588	147
915	1589	145
916	1590	143
917	1591	142
918	1593	140
919	1596	138
920	1597	137
921	1599	135
922	1600	133
923	1601	131
924	1602	129
925	1603	128
926	1605	126
927	1606	124
928	1609	123
929	1610	121
930	1612	119
931	1613	117
932	1614	115
933	1615	114
934	1616	112
935	1617	110
936	1618	108
937	1619	107
938	1623	105
939	1625	103
940	1626	101
941	1627	100
942	1628	98
943	1629	96
944	1630	94
945	1631	93
946	1633	91
947	1636	89
948	1637	88
949	1639	86
950	1640	84
951	1641	82
952	1642	81
953	1643	79
954	1644	77
955	1646	75
956	1648	74
957	1650	72
958	1651	70
959	1652	68
960	1654	67
961	1655	65
962	1656	63
963	1657	61
964	1658	60
965	1660	58
966	1663	56
967	1664	55
968	1665	53
969	1666	51
970	1667	49
971	1669	48
972	1670	46
973	1671	44
974	1672	42
975	1673	41
976	1676	39
977	1678	37
978	1679	36
979	1680	34
980	1681	32
981	1683	30
982	1684	29
983	1685	27
984	1686	25
985	1689	23
986	1691	22
987	1692	20
988	1693	18
989	1694	17
990	1695	15
991	1697	13
992	1698	11
993	1699	10
994	1701	8
995	1704	6
996	1706	5
997	1707	3
998	1708	1
999	1709	0
